Batch,AnimalID,DayPostWounding,DP_Caliper,Lateral_Caliper,Area
1,922587-2,80,1.68,1.52,2.00559275
1,922587-2,85,1.69,2.19,2.906837143
1,922587-2,90,1.58,1.5,1.861393647
1,922587-2,95,1.38,1.64,1.777513123
1,922587-2,100,1.18,0.86,0.797022056
1,922587-2,105,0.77,0.5,0.302378293
1,922587-2,110,0,0,0
2,925878-1,5,4.25,4.16,13.88583953
2,925878-2,5,3.91,4.22,12.95922678
1,927693-1,0,4,4,12.56637061
1,927693-1,5,4.3,4.39,14.82596113
1,927693-1,10,4.05,4.19,13.32781413
1,927693-1,15,4.13,3.99,12.94234072
1,927693-1,20,3.84,3.4,10.25415842
1,927693-1,25,3.88,3.69,11.24470258
1,927693-1,30,3.96,3.83,11.91197686
1,927693-1,35,3.28,3.66,9.428547872
1,927693-1,40,3.18,3.16,7.892309064
1,927693-1,45,3.03,2.81,6.687115583
1,927693-1,50,3.31,2.87,7.461046933
1,927693-1,55,2.65,2.63,5.4738325
1,927693-1,60,2.3,2.42,4.371526177
1,927693-1,65,2.15,2.4,4.052654523
1,927693-1,70,1.79,1.6,2.24938034
1,927693-1,75,1.59,1.82,2.272785205
1,927693-1,80,1.42,1.51,1.684050742
1,927693-1,85,1.26,1.48,1.464610495
1,927693-1,90,0.99,1.13,0.878624925
1,927693-1,95,0.51,0.71,0.284392675
1,927693-1,100,0.27,0.21,0.044532076
1,927693-1,105,0,0,0
1,927693-1,110,0,0,0
1,927693-2,0,4,4,12.56637061
1,927693-2,5,4.11,3.78,12.20178879
1,927693-2,10,4.13,3.94,12.78015599
1,927693-2,15,4.17,4.19,13.72271233
1,927693-2,20,4.04,4.04,12.81895466
1,927693-2,25,3.94,3.56,11.0163088
1,927693-2,30,4.06,3.95,12.59543035
1,927693-2,35,3.65,3.43,9.832792307
1,927693-2,40,3.32,3.21,8.370145307
1,927693-2,45,3.25,3.15,8.040513698
1,927693-2,50,2.84,3.08,6.870034815
1,927693-2,55,2.95,2.98,6.904435254
1,927693-2,60,2.74,2.62,5.638216335
1,927693-2,65,2.4,2.48,4.674689869
1,927693-2,70,2.13,1.96,3.278880253
1,927693-2,75,2.19,1.97,3.388443296
1,927693-2,80,1.78,1.64,2.292734319
1,927693-2,85,1.49,1.44,1.685150299
1,927693-2,90,1.43,1.41,1.583598317
1,927693-2,95,1.3,1.35,1.378373777
1,927693-2,100,0.81,1.09,0.693428038
1,927693-2,105,0.33,0.8,0.207345115
1,927693-2,110,0,0,0
1,941702-1,0,4,4,12.56637061
1,941702-1,5,4.4,4.42,15.27442348
1,941702-1,10,4.01,4.24,13.35365373
1,941702-1,15,4.11,4.18,13.49298337
1,941702-1,20,3.92,4.04,12.43819363
1,941702-1,25,3.94,3.65,11.29481099
1,941702-1,30,3.74,3.98,11.69080874
1,941702-1,35,3.65,3.99,11.43814615
1,941702-1,40,3.6,3.67,10.37668053
1,941702-1,45,3.03,2.99,7.115471741
1,941702-1,50,2.81,3.18,7.018160908
1,941702-1,55,2.68,3,6.314601234
1,941702-1,60,2.34,2.6,4.778362426
1,941702-1,65,1.96,2.2,3.386636881
1,941702-1,70,1.77,2.16,3.002734258
1,941702-1,75,1.55,1.71,2.081697832
1,941702-1,80,1.37,1.51,1.624753181
1,941702-1,85,1.19,1.51,1.41128196
1,941702-1,90,1.17,1.17,1.075131546
1,941702-1,95,0.64,0.71,0.356884925
1,941702-1,100,0.37,0.37,0.107521009
1,941702-1,105,0,0,0
1,941702-1,110,0,0,0
1,941702-2,0,4,4,12.56637061
1,941702-2,5,4.07,4.41,14.09687602
1,941702-2,10,4.33,4.46,15.16745225
1,941702-2,15,4.29,3.86,13.00572235
1,941702-2,20,4.1,3.38,10.88404775
1,941702-2,25,3.58,3.66,10.29091506
1,941702-2,30,3.08,3.31,8.006977196
1,941702-2,35,2.38,2.43,4.542271738
1,941702-2,40,1.87,2.47,3.627675577
1,941702-2,45,1.6,1.38,1.734159145
1,941702-2,50,1.35,1.5,1.590431281
1,941702-2,55,1.31,1.22,1.255223345
1,941702-2,60,0.98,1,0.7696902
1,941702-2,65,0.5,0.5,0.196349541
1,941702-2,70,0.4,0.19,0.05969026
1,941702-2,75,0,0,0
1,941702-2,80,0,0,0
1,941702-2,85,0,0,0
1,941702-2,90,0,0,0
1,941702-2,95,0,0,0
1,941702-2,100,0,0,0
1,941702-2,105,0,0,0
1,941702-2,110,0,0,0
1,941702-3,0,4,4,12.56637061
1,941702-3,5,3.79,3.86,11.48990389
1,941702-3,10,4.04,4.04,12.81895466
1,941702-3,15,3.81,3.94,11.78992599
1,941702-3,20,3.62,4.05,11.51472247
1,941702-3,25,3.3,3.79,9.82297483
1,941702-3,30,2.76,2.92,6.329680878
1,941702-3,35,2.43,2.55,4.866719719
1,941702-3,40,1.94,2.54,3.87012799
1,941702-3,45,1.6,1.29,1.621061809
1,941702-3,50,1.23,1.02,0.985360536
1,941702-3,55,0.92,1.06,0.765920289
1,941702-3,60,0.7,0.91,0.50029863
1,941702-3,65,0.48,0.25,0.09424778
1,941702-3,70,0,0,0
1,941702-3,75,0,0,0
1,941702-3,80,0,0,0
1,941702-3,85,0,0,0
1,941702-3,90,0,0,0
1,941702-3,95,0,0,0
1,941702-3,100,0,0,0
1,941702-3,105,0,0,0
1,941702-3,110,0,0,0
1,957162-1,0,4,4,12.56637061
1,957162-1,5,3.46,4.04,10.97860969
1,957162-1,10,3.95,4.01,12.44031421
1,957162-1,15,3.78,3.63,10.77676236
1,957162-1,20,3.79,3.88,11.54943707
1,957162-1,25,3.36,3.44,9.077946132
1,957162-1,30,3.4,3.14,8.384910792
1,957162-1,35,2.94,3.4,7.850840041
1,957162-1,40,3.11,2.96,7.230061333
1,957162-1,45,2.58,3.13,6.342404329
1,957162-1,50,2.66,2.54,5.306464151
1,957162-1,55,2.24,2.63,4.62693766
1,957162-1,60,2.25,2.52,4.453207586
1,957162-1,65,1.57,1.69,2.083896947
1,957162-1,70,1.29,1.69,1.712246536
1,957162-1,75,1,1.35,1.060287521
1,957162-1,80,0.61,1.23,0.589284242
1,957162-1,85,0.65,0.76,0.387986693
1,957162-1,90,0.2,0.7,0.109955743
1,957162-1,95,0,0,0
1,957162-1,100,0,0,0
1,957162-1,105,0,0,0
1,957162-1,110,0,0,0
1,957162-2,0,4,4,12.56637061
1,957162-2,5,3.86,3.87,11.73243484
1,957162-2,10,4.3,4.15,14.01543023
1,957162-2,15,4.26,4.08,13.6508484
1,957162-2,20,3.69,3.66,10.60711636
1,957162-2,25,3.55,3.52,9.81433545
1,957162-2,30,3.41,3.21,8.597046836
1,957162-2,35,2.87,3.35,7.551210642
1,957162-2,40,2.55,2.53,5.066996251
1,957162-2,45,2.45,2.51,4.829806006
1,957162-2,50,1.79,2.02,2.839842679
1,957162-2,55,1.84,1.84,2.659044022
1,957162-2,60,1.4,1.52,1.671327292
1,957162-2,65,0.8,1.25,0.785398163
1,957162-2,70,0.65,0.43,0.219518787
1,957162-2,75,0.37,0.41,0.119144901
1,957162-2,80,0.44,0.21,0.07257079
1,957162-2,85,0,0,0
1,957162-2,90,0,0,0
1,957162-2,95,0,0,0
1,957162-2,100,0,0,0
1,957162-2,105,0,0,0
1,957162-2,110,0,0,0
2,990342-1,5,4.13,4.07,13.20183627
2,990342-1,10,4.13,3.65,11.83948461
2,990342-1,15,4.42,3.84,13.33040595
2,990342-1,20,4.28,3.79,12.74010069
2,990342-1,25,3.95,3.69,11.44757093
2,990342-1,30,3.42,3.47,9.320634164
2,990342-1,35,3.38,3.33,8.839970488
2,990342-2,5,4.24,4.08,13.58675991
2,990342-2,10,4.09,3.84,12.3351494
2,990342-2,15,3.61,4.02,11.39785523
2,990342-2,20,4.04,3.97,12.59684406
2,990342-2,25,3.9,3.69,11.30266497
2,990342-2,30,3.77,3.9,11.5477092
2,990342-2,35,3.3,3.09,8.008705072
